EPFURZ,EPFTRZ,PSOFRZ,PSHNRZ,PIPCRZ,PCLCRZ,ITMCRZ,IT1IA0,CLRCRZ,ALCQRZ,RTVQRZ,ELSQRZ,BKTNRZ,WABCRZ,MSACRZ,SOACRZ,CCRCRZ,EUCWRZ,SLCCRZ,COMFRZ,LN1CRZ,LN2CRZ,RADURZ,RADTRZ,RUPURZ,RUPTRZ,LNGVRZ,SHENQ0,RUPUQ0,RUPTQ0
20251128,140000,0,PR11583685,8010703,VN146,3872575,05 CN PB16 TAPE DYED,329,28.7,,27,06024160,,,CFCH,VN146,,310,5,315,11,20251126,091740,20251126,103510,,09C315000000,20251126,105951
20251128,140000,0,PR11583685,8010703,VN146,3872575,05 CN PB16 TAPE DYED,329,46.1,46.1,43.4,06021300,05026160,CUT,CFCH,VN146,,310,5,315,11,20251126,091740,20251126,103610,,09C315000000,20251126,105951
20251128,140000,0,PR11583685,8010703,VN146,3872575,05 CN PB16 TAPE DYED,329,260.4,,245.5,06006870,,,CFCH,VN146,,310,5,315,11,20251126,091740,20251126,103444,,09C315000000,20251126,105951
20251128,140000,0,PR11583685,8010703,VN146,3872575,05 CN PB16 TAPE DYED,329,23.1,,21.7,05027730,,,CFCH,VN146,,310,5,315,11,20251126,091740,20251126,103624,,09C315000000,20251126,105951
20251128,140000,0,PR11583685,8010703,VN146,3872575,05 CN PB16 TAPE DYED,301,237.3,,223.7,07098050,,,CFCH,VN146,,310,5,315,11,20251126,091740,20251126,103534,,09C315000000,20251126,105951
20251128,140000,0,PR11583685,8010703,VN146,3872575,05 CN PB16 TAPE DYED,301,121,121,114.1,07049700,05023300,CUT,CFCH,VN146,,310,5,315,11,20251126,091740,20251126,103414,,09C315000000,20251126,105951
20251128,140000,0,PR11583685,8010703,VN146,3603616,05 CI CHAIN PB16 DYED,301,332.2,,313.3,07070660,,,CFCH,VN146,,310,5,315,11,20251126,091740,20251126,102856,,09C315000000,20251126,105951
20251128,140000,0,PR11583685,8010703,VN146,3603616,05 CI CHAIN PB16 DYED,301,29.5,29.5,27.8,07007740,06007640,CUT,CFCH,VN146,,310,5,315,11,20251126,091740,20251126,103553,,09C315000000,20251126,105951
20251127,235959,0,PR11583705,8010703,VN146,3872575,05 CN PB16 TAPE DYED,329,15.3,,10.2,06024160,,,CFCH,VN146,,310,5,315,92,20251126,091740,20251126,103510,,09C315000000,20251126,105951
20251127,235959,0,PR11583705,8010703,VN146,3872575,05 CN PB16 TAPE DYED,301,15.3,,10.2,07098050,,,CFCH,VN146,,310,5,315,92,20251126,091740,20251126,103534,,09C315000000,20251126,105951
20251127,235959,0,PR11583705,8010703,VN146,3603616,05 CI CHAIN PB16 DYED,301,9.1,,5.9,07070660,,,CFCH,VN146,,310,5,315,92,20251126,091740,20251126,102856,,09C315000000,20251126,105951
20251127,235959,0,PR11583705,8010703,VN146,3603616,05 CI CHAIN PB16 DYED,301,6.4,,4.2,06002770,,,CFCH,VN146,,310,5,315,92,20251126,091740,20251126,102842,,09C315000000,20251126,105951
20251127,235959,0,PR11583695,8010703,VN146,3872575,05 CN PB16 TAPE DYED,329,15.3,,10.2,06024160,,,CFCH,VN146,,310,5,315,92,20251126,091740,20251126,103510,,09C315000000,20251126,105951
20251127,235959,0,PR11583695,8010703,VN146,3872575,05 CN PB16 TAPE DYED,301,15.3,,10.2,07098050,,,CFCH,VN146,,310,5,315,92,20251126,091740,20251126,103534,,09C315000000,20251126,105951
20251127,235959,0,PR11583695,8010703,VN146,3603616,05 CI CHAIN PB16 DYED,301,15.5,,10.2,06002770,,,CFCH,VN146,,310,5,315,92,20251126,091740,20251126,102842,,09C315000000,20251126,105951
20251126,235959,0,PR11510685,8012972,VN149,3872575,05 CN PB16 TAPE DYED,501NA,477.8,477.8,472.6,07081290,06001810,CUT,CFCH,VN149,,310,5,315,11,20251124,150237,20251124,204031,,CFCH,20251124,204021
20251126,235959,0,PR11510685,8012972,VN149,3872575,05 CN PB16 TAPE DYED,115,477.8,477.8,472.6,07028330,06014960,CUT,CFCH,VN149,,310,5,315,11,20251124,150237,20251124,195040,,CFCH,20251124,195030
20251126,235959,0,PR11510685,8012972,VN149,3603616,05 CI CHAIN PB16 DYED,115,458.7,458.7,453.8,07074420,07062250,CUT,CFCH,VN149,,310,5,315,11,20251124,150237,20251124,195023,,CFCH,20251124,195014
20251126,235959,0,PR11510685,8012972,VN149,3603616,05 CI CHAIN PB16 DYED,115,23.8,23.8,23.5,07062250,06016540,CUT,CFCH,VN149,,310,5,315,11,20251124,150237,20251124,195003,,CFCH,20251124,194954
20251126,235959,0,PR11502875,8012973,VN148,3872575,05 CN PB16 TAPE DYED,501NA,308.8,308.8,305.4,07020860,05029470,CUT,CFCH,VN148,,310,5,315,11,20251124,132638,20251124,194900,,CFCH,20251124,194851
20251126,235959,0,PR11502875,8012973,VN148,3872575,05 CN PB16 TAPE DYED,501NA,170.4,,168.5,05009070,,,CFCH,VN148,,310,5,315,11,20251124,132638,20251124,194831,,CFCH,20251124,194821
20251126,235959,0,PR11502875,8012973,VN148,3872575,05 CN PB16 TAPE DYED,115,479.2,479.2,474,07062710,07092750,CUT,CFCH,VN148,,310,5,315,11,20251124,132638,20251124,194927,,CFCH,20251124,194917
20251126,235959,0,PR11502875,8012973,VN148,3603616,05 CI CHAIN PB16 DYED,115,483.9,483.9,478.7,07062250,07031190,CUT,CFCH,VN148,,310,5,315,11,20251124,132638,20251124,194940,,CFCH,20251124,194931
